Iteration,Timestep,SpeciesID,StateClassID,Value
,,Ovenbird,Forest:Mixed Medium,64
,,Ovenbird,Forest:Mixed Old,80
,,Ovenbird,Forest:Mixed Young,64
,,Ovenbird,Road:All,0
,,Ovenbird,Urban:All,27
,,Ovenbird,Water:All,10
,,Ovenbird,Wetland:Forested,44
,,Ovenbird,Wetland:Open,44
,,Pileated Woodpecker,Agriculture:All,52
,,Pileated Woodpecker,Forest:Coniferous Medium,48
,,Pileated Woodpecker,Forest:Coniferous Old,60
,,Pileated Woodpecker,Forest:Coniferous Young,36
,,Pileated Woodpecker,Forest:Deciduous Medium,80
,,Pileated Woodpecker,Forest:Deciduous Old,100
,,Pileated Woodpecker,Forest:Deciduous Young,60
,,Pileated Woodpecker,Forest:Mixed Medium,72
,,Pileated Woodpecker,Forest:Mixed Old,90
,,Pileated Woodpecker,Forest:Mixed Young,54
,,Pileated Woodpecker,Road:All,0
,,Pileated Woodpecker,Urban:All,41
,,Pileated Woodpecker,Urban:All,41
,,Pileated Woodpecker,Water:All,30
,,Pileated Woodpecker,Wetland:Forested,52
,,Pileated Woodpecker,Wetland:Open,52
,,Red Backed Salamander,Agriculture:All,44
,,Red Backed Salamander,Forest:Coniferous Medium,40
,,Red Backed Salamander,Forest:Coniferous Old,40
,,Red Backed Salamander,Forest:Coniferous Young,40
,,Red Backed Salamander,Forest:Deciduous Medium,100
,,Red Backed Salamander,Forest:Deciduous Old,100
,,Red Backed Salamander,Forest:Deciduous Young,100
,,Red Backed Salamander,Forest:Mixed Medium,90
,,Red Backed Salamander,Forest:Mixed Old,90
,,Red Backed Salamander,Forest:Mixed Young,90
,,Red Backed Salamander,Road:All,0
,,Red Backed Salamander,Urban:All,15
,,Red Backed Salamander,Water:All,10
,,Red Backed Salamander,Wetland:Forested,44
,,Red Backed Salamander,Wetland:Open,44
,,Red-breasted Nuthatch,Agriculture:All,44
,,Red-breasted Nuthatch,Forest:Coniferous Medium,80
,,Red-breasted Nuthatch,Forest:Coniferous Old,100
,,Red-breasted Nuthatch,Forest:Coniferous Young,60
,,Red-breasted Nuthatch,Forest:Deciduous Medium,16
,,Red-breasted Nuthatch,Forest:Deciduous Old,20
,,Red-breasted Nuthatch,Forest:Deciduous Young,12
,,Red-breasted Nuthatch,Forest:Mixed Medium,64
,,Red-breasted Nuthatch,Forest:Mixed Old,80
,,Red-breasted Nuthatch,Forest:Mixed Young,48
,,Red-breasted Nuthatch,Road:All,0
,,Red-breasted Nuthatch,Urban:All,27
,,Red-breasted Nuthatch,Water:All,10
,,Red-breasted Nuthatch,Wetland:Forested,44
,,Red-breasted Nuthatch,Wetland:Open,44
,,Short-tailed Shrew,Agriculture:All,44
,,Short-tailed Shrew,Forest:Coniferous Medium,32
,,Short-tailed Shrew,Forest:Coniferous Old,40
,,Short-tailed Shrew,Forest:Coniferous Young,16
,,Short-tailed Shrew,Forest:Deciduous Medium,80
,,Short-tailed Shrew,Forest:Deciduous Old,100
,,Short-tailed Shrew,Forest:Deciduous Young,40
,,Short-tailed Shrew,Forest:Mixed Medium,72
,,Short-tailed Shrew,Forest:Mixed Old,90
,,Short-tailed Shrew,Forest:Mixed Young,36
,,Short-tailed Shrew,Road:All,0
,,Short-tailed Shrew,Urban:All,15
,,Short-tailed Shrew,Urban:All,15
,,Short-tailed Shrew,Water:All,10
,,Short-tailed Shrew,Wetland:Forested,50
,,Short-tailed Shrew,Wetland:Open,50
,,Snowshoe Hare,Agriculture:All,44
,,Snowshoe Hare,Forest:Coniferous Medium,60
,,Snowshoe Hare,Forest:Coniferous Old,60
,,Snowshoe Hare,Forest:Coniferous Young,60
,,Snowshoe Hare,Forest:Deciduous Medium,30
,,Snowshoe Hare,Forest:Deciduous Old,30
,,Snowshoe Hare,Forest:Deciduous Young,30
,,Snowshoe Hare,Forest:Mixed Medium,100
,,Snowshoe Hare,Forest:Mixed Old,100
,,Snowshoe Hare,Forest:Mixed Young,100
,,Snowshoe Hare,Road:All,0
,,Snowshoe Hare,Urban:All,12
,,Snowshoe Hare,Water:All,0
,,Snowshoe Hare,Wetland:Forested,44
,,Snowshoe Hare,Wetland:Open,44
,,White-footed Mouse,Agriculture:All,44
,,White-footed Mouse,Forest:Coniferous Medium,40
,,White-footed Mouse,Forest:Coniferous Old,40
,,White-footed Mouse,Forest:Coniferous Young,40
,,White-footed Mouse,Forest:Deciduous Medium,100
,,White-footed Mouse,Forest:Deciduous Old,100
,,White-footed Mouse,Forest:Deciduous Young,100
,,White-footed Mouse,Forest:Mixed Medium,80
,,White-footed Mouse,Forest:Mixed Old,80
,,White-footed Mouse,Forest:Mixed Young,80
,,White-footed Mouse,Road:All,0
,,White-footed Mouse,Urban:All,30
,,White-footed Mouse,Water:All,0
,,White-footed Mouse,Wetland:Forested,50
,,White-footed Mouse,Wetland:Open,50
,,White-tailed  Deer,Agriculture:All,47
,,White-tailed  Deer,Forest:Coniferous Medium,80
,,White-tailed  Deer,Forest:Coniferous Old,80
,,White-tailed  Deer,Forest:Coniferous Young,80
,,White-tailed  Deer,Forest:Deciduous Medium,30
,,White-tailed  Deer,Forest:Deciduous Old,30
,,White-tailed  Deer,Forest:Deciduous Young,30
,,White-tailed  Deer,Forest:Mixed Medium,100
,,White-tailed  Deer,Forest:Mixed Old,100
,,White-tailed  Deer,Forest:Mixed Young,100
,,White-tailed  Deer,Road:All,0
,,White-tailed  Deer,Urban:All,25
,,White-tailed  Deer,Water:All,10
,,White-tailed  Deer,Wetland:Forested,47
,,White-tailed  Deer,Wetland:Open,47
,,Wood Frog,Agriculture:All,40
,,Wood Frog,Forest:Coniferous Medium,100
,,Wood Frog,Forest:Coniferous Old,100
,,Wood Frog,Forest:Coniferous Young,100
,,Wood Frog,Forest:Deciduous Medium,100
,,Wood Frog,Forest:Deciduous Old,100
,,Wood Frog,Forest:Deciduous Young,100
,,Wood Frog,Forest:Mixed Medium,100
,,Wood Frog,Forest:Mixed Old,100
,,Wood Frog,Forest:Mixed Young,100
,,Wood Frog,Road:All,0
,,Wood Frog,Urban:All,15
,,Wood Frog,Water:All,40
,,Wood Frog,Wetland:Forested,100
,,Wood Frog,Wetland:Open,70
