TransitionTypeID,TransitionGroupID,IsAuto
Forest:Deciduous Old->Forest:Mixed Old,Forest Succession TST,
Forest:Deciduous Old->Forest:Mixed Young,Forest Succession TST,
Forest:Deciduous Old->Urban,Agricultural Expansion and Urbanization,
Forest:Deciduous Old->Urban,Forest->Urban,
Forest:Deciduous Old->Urban,Natural Habitat->Urban,
Forest:Deciduous Young->Agriculture,Agricultural Expansion and Urbanization,
Forest:Deciduous Young->Agriculture,Forest->Agriculture,
Forest:Deciduous Young->Agriculture,Natural Habitat->Agriculture,
Forest:Deciduous Young->Forest:Coniferous Medium,Forest Succession TST,
Forest:Deciduous Young->Forest:Coniferous Old,Forest Succession TST,
Forest:Deciduous Young->Forest:Coniferous Young,Forest Succession TST,
Forest:Deciduous Young->Forest:Deciduous Medium,Forest Succession TST,
Forest:Deciduous Young->Forest:Deciduous Old,Forest Succession TST,
Forest:Deciduous Young->Forest:Mixed Medium,Forest Succession TST,
Forest:Deciduous Young->Forest:Mixed Old,Forest Succession TST,
Forest:Deciduous Young->Forest:Mixed Young,Forest Succession TST,
Forest:Deciduous Young->Urban,Agricultural Expansion and Urbanization,
Forest:Deciduous Young->Urban,Forest->Urban,
Forest:Deciduous Young->Urban,Natural Habitat->Urban,
Forest:Mixed Medium->Agriculture,Agricultural Expansion and Urbanization,
Forest:Mixed Medium->Agriculture,Forest->Agriculture,
Forest:Mixed Medium->Agriculture,Natural Habitat->Agriculture,
Forest:Mixed Medium->Forest:Coniferous Medium,Forest Succession TST,
Forest:Mixed Medium->Forest:Coniferous Old,Forest Succession TST,
Forest:Mixed Medium->Forest:Coniferous Young,Forest Succession TST,
Forest:Mixed Medium->Forest:Deciduous Medium,Forest Succession TST,
Forest:Mixed Medium->Forest:Deciduous Old,Forest Succession TST,
Forest:Mixed Medium->Forest:Deciduous Young,Forest Succession TST,
Forest:Mixed Medium->Forest:Mixed Old,Forest Succession TST,
Forest:Mixed Medium->Forest:Mixed Young,Forest Succession TST,
Forest:Mixed Medium->Urban,Agricultural Expansion and Urbanization,
Forest:Mixed Medium->Urban,Forest->Urban,
Forest:Mixed Medium->Urban,Natural Habitat->Urban,
Forest:Mixed Old->Agriculture,Agricultural Expansion and Urbanization,
Forest:Mixed Old->Agriculture,Forest->Agriculture,
Forest:Mixed Old->Agriculture,Natural Habitat->Agriculture,
Forest:Mixed Old->Forest:Coniferous Medium,Forest Succession TST,
Forest:Mixed Old->Forest:Coniferous Old,Forest Succession TST,
Forest:Mixed Old->Forest:Coniferous Young,Forest Succession TST,
Forest:Mixed Old->Forest:Deciduous Medium,Forest Succession TST,
Forest:Mixed Old->Forest:Deciduous Old,Forest Succession TST,
Forest:Mixed Old->Forest:Deciduous Young,Forest Succession TST,
Forest:Mixed Old->Forest:Mixed Medium,Forest Succession TST,
Forest:Mixed Old->Forest:Mixed Young,Forest Succession TST,
Forest:Mixed Old->Urban,Agricultural Expansion and Urbanization,
Forest:Mixed Old->Urban,Forest->Urban,
Forest:Mixed Old->Urban,Natural Habitat->Urban,
Forest:Mixed Young->Agriculture,Agricultural Expansion and Urbanization,
Forest:Mixed Young->Agriculture,Forest->Agriculture,
Forest:Mixed Young->Agriculture,Natural Habitat->Agriculture,
Forest:Mixed Young->Forest:Coniferous Medium,Forest Succession TST,
Forest:Mixed Young->Forest:Coniferous Old,Forest Succession TST,
Forest:Mixed Young->Forest:Coniferous Young,Forest Succession TST,
Forest:Mixed Young->Forest:Deciduous Medium,Forest Succession TST,
Forest:Mixed Young->Forest:Deciduous Old,Forest Succession TST,
Forest:Mixed Young->Forest:Deciduous Young,Forest Succession TST,
Forest:Mixed Young->Forest:Mixed Medium,Forest Succession TST,
Forest:Mixed Young->Forest:Mixed Old,Forest Succession TST,
Forest:Mixed Young->Urban,Agricultural Expansion and Urbanization,
Forest:Mixed Young->Urban,Forest->Urban,
Forest:Mixed Young->Urban,Natural Habitat->Urban,
Wetland:Forested->Agriculture,Agricultural Expansion and Urbanization,
Wetland:Forested->Agriculture,Natural Habitat->Agriculture,
Wetland:Forested->Agriculture,Wetland->Agriculture,
Wetland:Forested->Urban,Agricultural Expansion and Urbanization,
Wetland:Forested->Urban,Natural Habitat->Urban,
Wetland:Forested->Urban,Wetland->Urban,
Wetland:Open->Agriculture,Agricultural Expansion and Urbanization,
Wetland:Open->Agriculture,Natural Habitat->Agriculture,
Wetland:Open->Agriculture,Wetland->Agriculture,
Wetland:Open->Urban,Agricultural Expansion and Urbanization,
Wetland:Open->Urban,Natural Habitat->Urban,
Wetland:Open->Urban,Wetland->Urban,
